,drug vector,condensed weight
0,0 0 0 0 0 0 0,0.0
1,0 0 0 0 0 0 1,-1.8541409147095178
2,0 0 0 0 0 1 0,3.1769782924554892
3,0 0 0 0 0 1 1,3.1769782924554892
4,0 0 0 0 1 0 0,13.761845900288423
5,0 0 0 0 1 0 1,12.710081755687117
6,0 0 0 0 1 1 0,17.06893934465335
7,0 0 0 0 1 1 1,17.06893934465335
8,0 0 0 1 0 0 0,54.88257107540173
9,0 0 0 1 0 0 1,44.20228568950188
10,0 0 0 1 0 1 0,61.936980894758534
11,0 0 0 1 0 1 1,61.936980894758534
12,0 0 0 1 1 0 0,67.47988636610066
13,0 0 0 1 1 0 1,64.52193524602606
14,0 0 0 1 1 1 0,76.75275952551341
15,0 0 0 1 1 1 1,76.75275952551341
16,0 0 1 0 0 0 0,6.492746080281049
17,0 0 1 0 0 0 1,4.26560839676447
18,0 0 1 0 0 1 0,10.112115889228635
19,0 0 1 0 0 1 1,10.112115889228635
20,0 0 1 0 1 0 0,19.025003795025263
21,0 0 1 0 1 0 1,17.773729750829485
22,0 0 1 0 1 1 0,22.774488755882288
23,0 0 1 0 1 1 1,22.774488755882288
24,0 0 1 1 0 0 0,56.48949320148331
25,0 0 1 1 0 0 1,46.34267993841216
26,0 0 1 1 0 1 0,63.60896059679483
27,0 0 1 1 0 1 1,63.60896059679483
28,0 0 1 1 1 0 0,68.00251555960358
29,0 0 1 1 1 0 1,65.02070999501225
30,0 0 1 1 1 1 0,77.04118144557934
31,0 0 1 1 1 1 1,77.04118144557934
32,0 1 0 0 0 0 0,13.781363173074837
33,0 1 0 0 0 0 1,11.14653134690868
34,0 1 0 0 0 1 0,17.869147528896406
35,0 1 0 0 0 1 1,17.869147528896406
36,0 1 0 0 1 0 0,24.91271441892742
37,0 1 0 0 1 0 1,23.444581788215903
38,0 1 0 0 1 1 0,29.130613926658427
39,0 1 0 0 1 1 1,29.130613926658427
40,0 1 0 1 0 0 0,58.293756641294216
41,0 1 0 1 0 0 1,48.780170450849006
42,0 1 0 1 0 1 0,65.47828161256045
43,0 1 0 1 0 1 1,65.47828161256045
44,0 1 0 1 1 0 0,68.56201071281417
45,0 1 0 1 1 0 1,65.55418211784095
46,0 1 0 1 1 1 0,77.34695205256652
47,0 1 0 1 1 1 1,77.34695205256652
48,0 1 1 0 0 0 0,21.911391581549672
49,0 1 1 0 0 0 1,18.83416823889142
50,0 1 1 0 0 1 0,26.493613514627114
51,0 1 1 0 0 1 1,26.493613514627114
52,0 1 1 0 1 0 0,31.4596751458374
53,0 1 1 0 1 0 1,29.757335241688892
54,0 1 1 0 1 1 0,36.17201223082428
55,0 1 1 0 1 1 1,36.17201223082428
56,0 1 1 1 0 0 0,60.30620432416022
57,0 1 1 1 0 0 1,51.53427449959881
58,0 1 1 1 0 1 0,67.55578687138117
59,0 1 1 1 0 1 1,67.55578687138117
60,0 1 1 1 1 0 0,69.15837182573244
61,0 1 1 1 1 0 1,66.12235161451217
62,0 1 1 1 1 1 0,77.67007134647497
63,0 1 1 1 1 1 1,77.67007134647497
64,1 0 0 0 0 0 0,21.911391581549672
65,1 0 0 0 0 0 1,18.83416823889142
66,1 0 0 0 0 1 0,26.493613514627114
67,1 0 0 0 0 1 1,26.493613514627114
68,1 0 0 0 1 0 0,31.4596751458374
69,1 0 0 0 1 0 1,29.757335241688892
70,1 0 0 0 1 1 0,36.17201223082428
71,1 0 0 0 1 1 1,36.17201223082428
72,1 0 0 1 0 0 0,60.30620432416022
73,1 0 0 1 0 0 1,51.53427449959881
74,1 0 0 1 0 1 0,67.55578687138117
75,1 0 0 1 0 1 1,67.55578687138117
76,1 0 0 1 1 0 0,69.15837182573244
77,1 0 0 1 1 0 1,66.12235161451217
78,1 0 0 1 1 1 0,77.67007134647497
79,1 0 0 1 1 1 1,77.67007134647497
80,1 0 1 0 0 0 0,30.928371608873857
81,1 0 1 0 0 0 1,27.37405937588099
82,1 0 1 0 0 1 0,36.03105414958905
83,1 0 1 0 0 1 1,36.03105414958905
84,1 0 1 0 1 0 0,38.70058334959773
85,1 0 1 0 1 0 1,36.74668748509097
86,1 0 1 0 1 1 0,43.93338104222237
87,1 0 1 0 1 1 1,43.93338104222237
88,1 0 1 1 0 0 0,62.537679179407114
89,1 0 1 1 0 0 1,54.624509357448005
90,1 0 1 1 0 1 0,69.85231930258279
91,1 0 1 1 0 1 1,69.85231930258279
92,1 0 1 1 1 0 0,69.79159889835837
93,1 0 1 1 1 0 1,66.72521848502592
94,1 0 1 1 1 1 0,78.01053932730466
95,1 0 1 1 1 1 1,78.01053932730466
96,1 1 0 0 0 0 0,21.911391581549672
97,1 1 0 0 0 0 1,18.83416823889142
98,1 1 0 0 0 1 0,26.493613514627114
99,1 1 0 0 0 1 1,26.493613514627114
100,1 1 0 0 1 0 0,31.4596751458374
101,1 1 0 0 1 0 1,29.757335241688892
102,1 1 0 0 1 1 0,36.17201223082428
103,1 1 0 0 1 1 1,36.17201223082428
104,1 1 0 1 0 0 0,60.30620432416022
105,1 1 0 1 0 0 1,51.53427449959881
106,1 1 0 1 0 1 0,67.55578687138117
107,1 1 0 1 0 1 1,67.55578687138117
108,1 1 0 1 1 0 0,69.15837182573244
109,1 1 0 1 1 0 1,66.12235161451217
110,1 1 0 1 1 1 0,77.67007134647497
111,1 1 0 1 1 1 1,77.67007134647497
112,1 1 1 0 0 0 0,30.928371608873857
113,1 1 1 0 0 0 1,27.37405937588099
114,1 1 1 0 0 1 0,36.03105414958905
115,1 1 1 0 0 1 1,36.03105414958905
116,1 1 1 0 1 0 0,38.70058334959773
117,1 1 1 0 1 0 1,36.74668748509097
118,1 1 1 0 1 1 0,43.93338104222237
119,1 1 1 0 1 1 1,43.93338104222237
120,1 1 1 1 0 0 0,62.537679179407114
121,1 1 1 1 0 0 1,54.624509357448005
122,1 1 1 1 0 1 0,69.85231930258279
123,1 1 1 1 0 1 1,69.85231930258279
124,1 1 1 1 1 0 0,69.79159889835837
125,1 1 1 1 1 0 1,66.72521848502592
126,1 1 1 1 1 1 0,78.01053932730466
127,1 1 1 1 1 1 1,78.01053932730466
